Unit: ~~~~
R1   L1   R2   L2   R3   L3   R4   L4
415.075    192.474    265.931    29.6683    576.304    46.7251    330.981    30.1737
728.668    29.6023    490.104    30.6351    461.615    26.3063    358.966    34.1728
716.094    34.2607    250.488    29.8111    474.342    137.057    266.022    141.908
379.139    183.273    273.56    55.7616    413.182    26.7348    379.292    124.384
184.74    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
452.383    111.36    260.773    32.9148    312.96    153.092    673.017    41.814
250.168    143.715    168.913    20.8954    472.144    102.592    261.856    167.837
305.651    36.6723    282.411    44.5717    318.117    24.5375    578.822    135.662
152.884    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    374.943    261.856    167.837
379.368    195.051    329.241    27.9708    298.799    144.556    422.903    102.713
91.7539    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    182.355    20.8954    472.144    102.592    261.856    167.837
318.819    117.402    412.404    22.9829    583.247    58.3215    252.121    161.047
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    314.531
62.5294    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
257.859    188.36    290.513    30.8219    394.093    23.9937    326.113    95.341
320.025    115.589    251.77    53.5313    531.289    102.241    264.817    164.903
404.027    98.6535    313.021    61.167    334.445    51.0428    303.835    59.5135
280.839    92.1879    365.131    41.5229    425.268    80.0861    292.344    184.756
250.168    143.715    344.287    20.8954    108.349    102.592    261.856    167.837
665.433    62.1943    339.572    27.1688    388.905    142.194    384.022    44.0388
581.767    74.4169    267.533    43.7422    611.858    21.3459    411.718    44.687
280.107    185.124    296.831    46.2471    396.26    180.817    567.362    22.9005
250.168    143.715    344.287    20.8954    197.237    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    350.101    261.856    167.837
464.805    21.6645    388.691    33.4642    566.218    53.1632    475.089    45.9999
497.063    82.223    269.12    41.7371    410.436    83.7172    340.838    167.941
396.931    37.2765    255.417    85.2553    453.482    106.223    342.151    93.8743
250.168    143.715    344.287    20.8954    96.3134    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    190.304    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    318.85    261.856    167.837
463.965    45.3737    289.323    27.2292    252.06    191.771    525.994    87.4252
408.437    37.6446    315.081    49.3289    415.639    51.0868    711.699    45.3737
328.799    128.191    250.305    46.3021    747.33    36.8645    350.101    164.293
250.168    143.715    33.3048    20.8954    472.144    102.592    261.856    167.837
274.339    104.394    261.216    56.0692    463.874    87.123    348.758    159.706
378.956    52.4766    418.874    22.5379    278.825    94.8466    300.478    188.305
250.168    143.715    199.731    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    56.3549    20.8954    472.144    102.592    261.856    167.837
275.361    173.187    290.162    37.4468    602.885    36.1504    307.68    174.132
260.254    81.2397    276.795    100.126    315.416    64.062    281.999    31.8766
291.765    61.991    250.198    54.8936    398.213    75.164    454.566    172.242
719.634    25.9548    272.034    40.0397    635.022    26.6634    448.263    142.254
379.765    30.4923    326.647    51.301    255.57    149.088    679.731    55.5199
282.304    25.3121    308.504    32.8379    511.742    33.8212    447.287    173.962
594.279    63.3259    297.365    22.3017    400.334    21.9117    578.715    64.7432
250.168    143.715    344.287    20.8954    139.991    102.592    261.856    167.837
329.928    151.038    275.407    55.5528    428.014    54.7728    452.2    111.343
311.739    189.217    278.504    20.5383    667.814    86.8758    415.99    57.4975
250.168    361.759    344.287    20.8954    472.144    102.592    261.856    167.837
602.107    93.0393    381.642    21.3404    276.048    58.7445    445.212    93.8084
369.16    49.0542    283.906    28.7729    353.58    98.9007    475.455    68.4072
116.056    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
284.577    39.2212    327.731    27.8719    625.912    83.3876    522.866    78.9435
251.495    150.027    358.081    39.9792    488.334    69.7971    310.808    146.781
293.733    132.212    488.411    22.5874    357.654    66.4351    409.352    114.051
250.168    409.337    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    369.846    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    286.821    344.287    20.8954    472.144    102.592    261.856    167.837
652.173    91.7704    300.722    34.3211    357.883    23.9387    316.973    114.969
250.168    143.715    344.287    20.8954    472.144    291.902    261.856    167.837
408.65    55.0859    379.307    24.2244    371.952    68.7918    579.981    74.7191
250.168    297.441    344.287    20.8954    472.144    102.592    261.856    167.837
283.815    145.358    461.432    24.955    407.552    96.4837    575.892    33.3543
421.697    179.186    316.912    20.3351    340.655    69.0774    405.293    54.6409
385.533    170.49    438.269    20.6317    282.563    199.462    483.207    43.1324
414.022    75.3453    297.792    60.9033    282.212    190.381    379.292    34.9034
437.918    74.9773    315.706    55.4759    301.607    46.5273    472.51    81.767
466.514    66.2703    300.569    31.3437    448.355    109.415    449.347    35.5571
278.871    20.4944    337.588    49.8178    437.277    54.4652    377.049    115.254
301.79    156.042    358.432    37.5896    299.73    94.116    306.017    187.7
408.986    36.5789    274.705    53.5698    410.68    62.1668    282.991    154.642
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    469.947
250.168    143.715    344.287    20.8954    472.144    102.592    57.7612    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    140.09    167.837
491.966    50.0266    354.221    30.4318    484.901    72.7415    456.931    25.7955
180.383    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
69.9344    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    476.035
366.871    191.238    449.362    28.0972    324.343    53.4324    317.354    52.7073
250.168    143.715    344.287    20.8954    472.144    295.412    261.856    167.837
138.661    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    114.386    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    378.574
257.294    110.959    251.77    45.1759    274.11    127.587    585.963    43.7587
250.168    143.715    344.287    20.8954    472.144    377.247    261.856    167.837
476.31    29.4925    289.308    41.5394    337.832    45.4122    344.226    161.118
307.131    190.354    324.938    20.2417    376.652    169.281    414.769    124.796
493.202    139.095    261.536    25.5977    380.192    131.537    556.009    38.54
562.433    80.4541    292.055    25.5208    306.124    81.7615    610.21    65.6771
415.792    171.775    339.267    28.0422    736.679    25.9877    364.383    77.8558
475.257    73.4941    257.874    21.9117    611.37    57.2997    607.57    69.5279
432.257    119.308    266.984    50.5704    345.111    32.1458    350.864    82.8053
250.168    143.715    344.287    20.8954    472.144    342.013    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    292.085
545.19    27.383    334.857    51.6471    601.573    35.3429    612.758    35.7604
567.591    24.5705    342.38    35.5791    312.929    46.9558    322.985    44.2421
250.168    397.374    344.287    20.8954    472.144    102.592    261.856    167.837
187.327    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
328.036    161.118    314.608    35.7823    721.709    30.0034    475.379    77.5207
250.168    143.715    344.287    20.8954    472.144    349.78    261.856    167.837
313.234    119.572    263.627    58.4313    463.446    87.4471    604.503    38.9575
426.931    23.9937    314.989    80.3223    499.26    24.8561    470.649    33.3927
376.881    169.979    327.38    45.9505    381.092    49.3234    280.61    85.2058
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    428.808
465.079    109.53    258.652    24.7847    403.249    76.1638    376.362    46.9503
317.568    94.1435    259.735    90.1938    362.476    100.411    484.962    53.8939
284.837    175.807    347.842    27.037    274.72    128.219    342.074    80.954
556.146    50.1144    338.778    41.4624    367.206    101.038    323.901    153.351
250.168    143.715    344.287    20.8954    472.144    265.717    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    196.688    167.837
250.168    490.913    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    74.362    167.837
518.654    40.7923    322.924    30.5527    353.549    91.4243    470.756    71.055
530.435    119.193    250.015    45.555    282.014    168.018    346.24    23.5212
250.168    513.573    344.287    20.8954    472.144    102.592    261.856    167.837
459.922    76.4714    269.12    59.0905    301.012    156.02    315.828    190.205
99.3017    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
354.846    27.438    293.886    58.684    359.622    28.1521    278.809    151.994
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    417.425
253.235    69.2642    282.96    73.3842    398.595    24.2903    409.688    146.253
250.168    359.455    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    431.158    344.287    20.8954    472.144    102.592    261.856    167.837
545.419    30.7505    418.142    27.9653    446.509    132.646    354.526    71.6593
66.7428    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
493.919    118.798    295.305    34.3596    636.074    48.5379    281.449    132.163
687.361    31.8326    278.611    86.9967    322.985    41.1823    404.5    67.4349
331.912    119.77    287.065    36.7492    256.134    55.465    418.95    86.2166
289.46    33.0741    467.963    25.4219    413.9    97.7746    280.808    184.443
175.549    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
331.652    160.651    394.841    30.0693    505.837    69.1214    285.844    20.8899
250.168    143.715    155.592    20.8954    472.144    102.592    261.856    167.837
475.12    126.884    314.791    29.6298    282.868    115.809    305.605    170.858
250.168    143.715    344.287    20.8954    76.0375    102.592    261.856    167.837
250.168    370.182    344.287    20.8954    472.144    102.592    261.856    167.837
71.6208    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    102.592    87.7657    167.837
555.414    26.4272    293.382    55.1353    438.055    66.2209    729.049    45.0826
292.726    142.765    355.914    47.3293    301.79    107.536    359.302    23.0708
126.587    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    147.237    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    286.012    261.856    167.837
414.235    148.275    280.32    32.5797    398.228    199.577    416.768    30.5252
250.168    143.715    344.287    20.8954    472.144    102.592    100.911    167.837
497.291    136.431    253.876    29.4705    285.844    191.958    352.802    47.3074
250.168    143.715    344.287    20.8954    472.144    102.592    261.856    402.272
284.852    175.176    259.476    92.457    253.739    88.2437    254.257    107.047
250.168    143.715    344.287    20.8954    34.4145    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    131.57    102.592    261.856    167.837
250.168    311.342    344.287    20.8954    472.144    102.592    261.856    167.837
670.682    67.9293    283.708    36.5239    258.332    109.695    257.569    177.615
413.442    187.948    262.223    35.1506    270.005    196.534    270.035    163.997
250.168    143.715    30.5747    20.8954    472.144    102.592    261.856    167.837
326.556    86.1946    339.389    31.157    423.849    179.032    327.532    108.064
250.168    143.715    344.287    20.8954    472.144    358.798    261.856    167.837
250.168    143.715    344.287    20.8954    52.7677    102.592    261.856    167.837
163.162    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    472.144    361.866    261.856    167.837
269.333    43.8411    275.208    32.5742    407.659    94.7258    278.642    90.3916
250.168    400.578    344.287    20.8954    472.144    102.592    261.856    167.837
279.832    102.839    373.005    20.3406    396.214    186.283    354.419    125.071
482.261    24.2024    352.618    28.4268    338.015    136.376    313.219    149.291
250.168    143.715    344.287    20.8954    472.144    263.596    261.856    167.837
399.754    31.4426    264.924    99.3402    599.345    27.8884    526.33    23.9827
31.0416    143.715    344.287    20.8954    472.144    102.592    261.856    167.837
505.76    82.19    271.668    42.3524    530.404    64.3147    298.112    188.294
741.18    47.3843    273.225    42.4403    374.821    198.599    343.814    21.637
250.168    143.715    152.027    20.8954    472.144    102.592    261.856    167.837
250.168    415.303    344.287    20.8954    472.144    102.592    261.856    167.837
250.168    143.715    344.287    20.8954    170.759    102.592    261.856    167.837
449.606    83.3161    342.608    36.7711    370.35    170.847    311.861    21.0053
250.168    143.715    344.287    20.8954    472.144    102.592    122.044    167.837
250.168    143.715    344.287    20.8954    39.5892    102.592    261.856    167.837
491.142    26.5096    262.101    45.5385    377.476    151.197    343.631    50.9934
250.168    143.715    344.287    20.8954    472.144    102.592    55.0859    167.837
250.168    143.715    344.287    20.8954    56.3933    102.592    261.856    167.837
250.168    315.935    344.287    20.8954    472.144    102.592    261.856    167.837
377.476    61.1011    326.312    21.9776    584.468    64.2598    462.455    23.5047
312.014    186.745    337.298    25.3011    266.129    125.17    486.61    113.606
566.05    26.7403    317.019    51.7624    278.23    67.1822    424.49    36.9634
250.168    143.715    344.287    20.8954    472.144    343.158    261.856    167.837
251.831    56.3768    263.047    64.3641    570.597    75.9771    371.067    96.989
